SYMBOL,NAME,PRICE(USD)
Hydro pumped storage consumption
Cross border electricity trading
Hydro Run-of-River
Biomass
Fossil brown coal / lignite
Fossil hard coal
Fossil oil
Fossil gas
Geothermal
Hydro water reservoir
Hydro pumped storage
Others
Waste
Wind offshore
Wind onshore
Solar
Load
Residual load
Renewable share of generation
Renewable share of load
